trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Selini Capital [0x95995f],VCs,0x95995f302ad58138d791ce49f9f3b1274e80c60a,"4,271,031.21",0.11,"128,713.58"
Whale [0x94d373],retail,0x94d3735543ecb3d339064151118644501c933814,"32,285,798.04",0.00,"1,406,291.17"
High Balance [0x92e977],retail,0x92e9773ad2b4ba6e2e57e7fc1f9305aef80ab6c2,"669,685.75",0.07,"105,341.32"
Former Smart Trader [0x92b585],retail,0x92b585bdf2d67c0fe321108b863ca4617dd39fe9,"1,041,715.62",0.08,"174,457.88"
High Activity [0x8e0969],retail,0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,"17,806,910.37",0.06,"4,200,591.68"
Laurent Zeimes [0x8def9f],retail,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,"7,255,082.42",0.02,"501,607.15"
Token Millionaire [0x8cc94d],retail,0x8cc94dc843e1ea7a19805e0cca43001123512b6a,"7,831,178.15",0.00,"120,637.82"
Smart HL Perps Trader [0x8bae35],retail,0x8bae3527e5a33fa0cf184f37bc112d071463ab6d,"3,362,886.78",0.04,"101,821.31"
Former Smart Trader [0x8ae4c5],retail,0x8ae4c5b303bc77c3aa68f2b71f37c9fa6d3b3d60,"11,142,560.66",0.46,"268,215.00"
High Activity [0x880ac4],retail,0x880ac484a1743862989a441d6d867238c7aa311c,"31,485,024.97",0.02,"12,011,879.59"
Trading Bot [0x880ac4],retail,0x880ac484a1743862989a441d6d867238c7aa311c,"33,092,550.13",0.02,"12,168,801.29"
Whale [0x856c35],retail,0x856c35038594767646266bc7fd68dc26480e910d,"30,821,037.25",0.02,"1,826,981.90"
High Activity [0x833b99],retail,0x833b99b27dac651d02080f5e220e929df891db06,"1,995,788.12",0.01,"175,145.72"
Fasanara Capital: 0x7fd [0x7fdafd],VCs,0x7fdafde5cfb5465924316eced2d3715494c517d1,"47,298,990.58",0.11,"7,436,920.51"
[0x7eb902],retail,0x7eb9026d0183942458bd4660371c3cc0a2df3beb,"3,178,357.78",0.08,"196,128.51"
High Activity [0x7e1e06],retail,0x7e1e06ae756fa83412b3830c39f43a5503d6e3bd,"881,562.96",0.00,"402,436.90"
Former Smart Trader [0x7da85a],retail,0x7da85a334e43a6b1c2c0da9623409d9ee9047747,"785,240.70",0.01,"195,007.56"
[0x7ca165],retail,0x7ca165f354e3260e2f8d5a7508cc9dd2fa009235,"6,016,296.32",0.06,"625,393.23"
Former Smart Trader [0x7a7da8],retail,0x7a7da855c61ba2326decf722691c6e2d14a50344,"1,257,764.58",0.06,"146,590.27"
Trading Bot [0x7a6d5f],retail,0x7a6d5fc57f6906f337c48fe2763c3a501304f79c,"3,963,173.57",0.01,"154,913.29"
[0x7a420a],retail,0x7a420aebedabd3b8f6c7a3e1df73924c71194bac,"461,313.29",0.02,"139,591.89"
[0x779e5e],retail,0x779e5e469d5de3a13e563f736ffcf47ebe5584c5,"950,533.40",0.08,"152,294.29"
Trading Bot [0x7717a7],retail,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,"7,434,084.20",0.00,"243,183.87"
Bridge User [0x76c216],retail,0x76c2164fc79492401db1890db0d17d16b9155aa0,"9,591,882.83",0.36,"3,942,621.86"
Trading Bot [0x720a68],retail,0x720a68bf0813853cd3ed74d2fd0f54edfc7a43e1,"5,482,787.23",0.05,"234,718.34"
Smart HL Perps Trader [0x705e54],retail,0x705e54faaa515bc86c83fb4803000eebeccbf167,"541,890.19",0.21,"140,133.65"
frankfrankbank.eth [0x6f7d75],retail,0x6f7d75c18e8ca7f486eb4d2690abf7b329087062,"1,521,094.92",0.12,"1,243,578.16"
